artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),6l8mgVN9Xf1hiDIFGA6CTE,86,0.784,0.7,1,-5.289,1,0.0396,0.0112,1.76e-05,0.163,0.204,126.015,260962,4
Morgan Wallen,’98 Braves,3oZ6dlSfCE9gZ55MGPJctc,81,0.488,0.67,2,-5.759,1,0.0268,0.0969,0.00022,0.257,0.484,142.139,178704,4
Post Malone,Mourning,0gWrMbx6pbdH3n3nsLjE55,86,0.596,0.651,9,-4.604,1,0.0331,0.0971,0.0,0.279,0.255,73.959,147819,4
That Mexican OT,Johnny Dang (with Paul Wall & DRODi),1kwPxt35W7cG3rryxR48PO,81,0.971,0.671,10,-5.26,0,0.154,0.416,0.0,0.128,0.754,119.965,192000,4
Doechii,What It Is (Solo Version),73RbfOTJIjHzi2pcVHjeHM,90,0.74,0.758,1,-5.851,0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,189825,4
HARDY,TRUCK BED,103u49mLoJUge83B1CnLxI,80,0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,167535,4
Metro Boomin,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",0B6g379TMw0nYGXA7y5xHz,85,0.774,0.549,9,-7.297,0,0.154,0.178,0.00151,0.22,0.28,135.016,245240,4
Bailey Zimmerman,Fall In Love,0rCFRyEy4WXjRXNpO80Dzs,81,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,232059,4
Morgan Wallen,Sunrise,0JtgoDDf0ggWaoXCGhcOoT,80,0.613,0.765,2,-5.058,0,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,182522,4
Lil Uzi Vert,Pluto to Mars,0WCJSIy75ZVxqY51ce0enc,81,0.807,0.627,11,-6.829,1,0.0771,0.0225,0.0,0.0904,0.761,122.963,246497,4
Peso Pluma,TULUM,7bPp2NmpmyhLJ7zWazAXMu,88,0.557,0.866,6,-4.454,1,0.0503,0.394,0.0,0.11,0.631,167.767,209415,4
Lil Uzi Vert,Crush Em,11pn4LFXCIXyprWQk8RSlM,81,0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,165589,4
DaBaby,SHAKE SUMN,3FhZPYvMGSjFc6boVYKlCv,81,0.783,0.768,11,-8.471,0,0.157,0.00198,0.0,0.171,0.267,143.071,124806,4
David Guetta,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,94,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,4
Lil Uzi Vert,x2,3a36nM6fPVA8K1vqq6d03o,81,0.64,0.891,10,-4.639,0,0.135,0.00467,0.0,0.132,0.449,148.054,234324,3
Morgan Wallen,Everything I Love,03fs6oV5JAlbytRYf3371S,80,0.568,0.841,8,-3.802,1,0.0261,0.00514,0.000503,0.147,0.668,103.983,187047,4
Morgan Wallen,Man Made A Bar (feat. Eric Church),73zawW1ttszLRgT9By826D,80,0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984,191231,4
Odetari,GOOD LOYAL THOTS,06tNJ27nVxbDwhiQMChWyr,85,0.585,0.86,6,-5.274,1,0.116,0.0566,0.000142,0.18,0.607,146.441,102557,4
Lil Baby,Go Hard,1IzJxbARcQrOWMZgPw1PNj,82,0.849,0.581,6,-5.464,0,0.261,0.0178,0.0,0.092,0.274,142.015,217610,4
Peso Pluma,LUNA,3RA55zrRkyPK8Fd86hrMy8,86,0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,163552,3
Lil Uzi Vert,Spin Again,1pDbGAAH5GQ8U0KG4fI77H,80,0.619,0.606,1,-4.252,1,0.0784,0.0268,0.0,0.375,0.0669,140.023,97770,4
Noah Kahan,You’re Gonna Go Far,4nHJcUtNSUVjXRnjdP29Bk,81,0.59,0.36,7,-9.643,1,0.0301,0.599,0.0,0.112,0.379,169.909,286369,4
Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),4zmKGsrXjLmljb5fTaBTot,87,0.664,0.401,6,-10.934,0,0.0344,0.806,3.5e-06,0.108,0.315,109.846,229943,4
Gunna,back to the moon,3OGCNLxpBmTYRxPZg2yDE5,82,0.767,0.662,5,-4.856,0,0.0578,0.103,0.0,0.123,0.259,143.943,193333,4
Dave,Sprinter,2FDTHlrBguDzQkp7PVj16Q,96,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,226383,4
Junior H,El Tsurito,1piak4R3yW4otWWyaSqyCH,88,0.662,0.801,8,-6.397,0,0.0859,0.256,0.0,0.126,0.827,114.922,194519,3
Lil Durk,Cross The Globe (feat. Juice WRLD),52WWw9qNZXZZtWU336TtKG,81,0.743,0.714,8,-6.024,0,0.105,0.0126,0.0,0.0901,0.749,138.595,124906,4
Jimin,Like Crazy (English Version),0u8rZGtXJrLtiSe34FPjGG,87,0.623,0.755,7,-5.386,1,0.0415,0.00306,0.0,0.387,0.32,119.957,212254,4
Lil Uzi Vert,Werewolf (feat. Bring Me The Horizon),3ySqZ8yGoh4Emi9HiPCCdP,81,0.389,0.962,2,-4.772,0,0.248,5.98e-05,0.623,0.331,0.155,183.049,239864,4
Stray Kids,S-Class,3gTQwwDNJ42CCLo3Sf4JDd,89,0.886,0.781,5,-1.837,0,0.333,0.0895,0.0,0.0715,0.672,104.996,195689,4
Sky Rompiendo,El Cielo,4PA1wK0leCjmRZlP5dQ8Lv,94,0.715,0.642,10,-7.492,0,0.0515,0.0687,0.0,0.0997,0.169,105.964,191321,4
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",4nrPB8O7Y7wsOCJdgXkthe,93,0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,218289,4
Lil Uzi Vert,Amped,2ydwqnjPOcM24MV0kLThwi,80,0.534,0.699,7,-5.078,0,0.0326,0.00038,8.21e-06,0.362,0.0555,147.169,173061,4
Lil Uzi Vert,Nakamura,2lophWrG2xqv9CSgSPca5k,80,0.52,0.876,5,-3.707,1,0.0606,0.0414,0.0,0.418,0.38,160.008,197901,4
Lil Uzi Vert,"Mama, I’m Sorry",5V5Xpbmqi2rp1xSJWZTvYu,79,0.783,0.594,4,-4.943,0,0.105,0.774,0.0,0.169,0.596,128.177,210961,4
Labrinth,Never Felt So Alone,2NbsBSshscKIPRG3kwBbfo,86,0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,160166,3
Morgan Wallen,Dying Man,4kvjThnfQIsPOKjxx0aZDu,79,0.415,0.573,1,-6.567,1,0.0286,0.28,0.00449,0.0966,0.322,80.95,183466,4
Young Nudy,Peaches & Eggplants (feat. 21 Savage),1KUZ33cOqk3X4Ezk0aZnVp,80,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,203813,4
